StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Text / Graphic,Location,Activity,Occupancy,Indoor Air Quality_1,Perceived_1,Satisfaction_1,Description,Symptons,Symptons_5_TEXT,Cognitive,Cognitive_3_TEXT
2024-03-26 11:05:31,2024-03-28 14:00:48,IP Address,185.107.44.164,30,183316,FALSE,2024-04-04 15:00:52,R_7QKUYFbYCeGmR5u,,,,,,,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the second floor (2th floor - in a working space),2 days a week,Very crowded,,,,,,,,
2024-04-23 13:44:16,2024-04-23 13:46:30,IP Address,145.109.16.151,100,133,TRUE,2024-04-23 13:46:30,R_7lf8yU2Iim8G6Hf,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),3 days a week,Not too crowded,Very unaware,Acceptable,Neither dissaitisfied or satisfied,,None,,None,
2024-04-23 13:45:05,2024-04-23 13:48:21,IP Address,145.109.17.90,100,195,TRUE,2024-04-23 13:48:21,R_7N2kzXau0iUZzQe,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),3 days a week,Crowded,Very unaware,Good,Neither dissaitisfied or satisfied,,None,,None,
2024-04-23 13:47:56,2024-04-23 13:49:41,IP Address,145.109.41.29,100,104,TRUE,2024-04-23 13:49:42,R_7sQPn23KbetMO6v,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Crowded,Unaware,Acceptable,Neither dissaitisfied or satisfied,,None,,Trouble with focus,
2024-04-23 13:48:22,2024-04-23 13:49:58,IP Address,145.109.41.133,100,95,TRUE,2024-04-23 13:49:58,R_5fIzoJnQnz1Zu26,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),2 days a week,Not too crowded,Very unaware,Acceptable,Neither dissaitisfied or satisfied,,None,,Trouble with focus,
2024-04-23 13:43:53,2024-04-23 13:50:45,IP Address,145.109.24.53,100,411,TRUE,2024-04-23 13:50:45,R_2TH2ajisZdCD9P2,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),1 day a week,Not too crowded,Aware,Good,Neither dissaitisfied or satisfied,,None,,None,
2024-04-23 13:49:35,2024-04-23 13:51:49,IP Address,145.109.39.146,100,134,TRUE,2024-04-23 13:51:50,R_4SS2q8qQ822IhMt,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),4 days a week,Not too crowded,Neutral,Very Good,Very satisfied,It feels good,None,,None,
2024-04-23 13:52:04,2024-04-23 13:54:31,IP Address,145.90.203.200,100,147,TRUE,2024-04-23 13:54:32,R_2PMUijWVuv8qZYR,,,,,52.3474,4.9284,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),5 days a week,Not too crowded,Aware,Acceptable,Neither dissaitisfied or satisfied,,None,,Trouble with focus,
2024-04-23 13:53:08,2024-04-23 13:54:59,IP Address,145.109.9.38,100,110,TRUE,2024-04-23 13:54:59,R_1EaQjgTcjlpGEzo,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),1 day a week,Crowded,Very unaware,Good,Satisfied,,None,,None,
2024-04-23 13:50:53,2024-04-23 13:55:00,IP Address,89.205.143.159,100,246,TRUE,2024-04-23 13:55:00,R_2zILNmeiInBhhQ8,,,,,51.95,4.4789,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),1 day a week,Not too crowded,Unaware,Good,Satisfied,"I like the air quality. This may also be because I sit close to the door and the ceiling is high. I also see green plants around me, of which I think they are real.",None,,Other,A little tired because of my exam
2024-04-23 13:53:55,2024-04-23 13:56:32,IP Address,145.109.40.77,100,157,TRUE,2024-04-23 13:56:32,R_7xyIjDhUXTdlseh,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),3 days a week,Crowded,Unaware,Good,Satisfied,I thrive on the oxygen provided by the many plants here !!,None,,Other,"headache, but that might be due to other factors. "
2024-04-23 13:52:47,2024-04-23 13:57:09,IP Address,145.109.28.209,100,261,TRUE,2024-04-23 13:57:09,R_2hfQCWNzlDe22hM,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),2 days a week,Not too crowded,Unaware,Acceptable,Dissatisfied,,Headaches,,Tiredness,
2024-04-23 13:49:12,2024-04-23 13:57:53,IP Address,145.109.26.31,100,521,TRUE,2024-04-23 13:57:53,R_2PTycWCJv3zP2uF,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),4 days a week,Not too crowded,Aware,Poor,Neither dissaitisfied or satisfied,"Sometimes I can smell ""burned plastics"".",Other,"Breathing unnaturally, Headaches(not frequent).",Tiredness,
2024-04-23 14:05:23,2024-04-23 14:07:33,IP Address,145.109.45.51,100,130,TRUE,2024-04-23 14:07:34,R_1f8WeR3N8FpLZBU,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),3 days a week,Not too crowded,Neutral,Acceptable,Satisfied,,Feeling noiziating,,Trouble with focus,
2024-04-23 14:15:52,2024-04-23 14:17:33,IP Address,145.109.36.239,100,101,TRUE,2024-04-23 14:17:34,R_1S1sIhyTcb66bjp,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),3 days a week,Not too crowded,Unaware,Very Good,Satisfied,,None,,None,
2024-04-23 14:23:23,2024-04-23 14:25:53,IP Address,77.63.70.226,100,149,TRUE,2024-04-23 14:25:53,R_1O0rdK0gGxFwhvu,,,,,51.9083,4.5016,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),2 days a week,Not too crowded,Very unaware,Good,Satisfied,,None,,None,
2024-04-23 14:49:04,2024-04-23 14:50:17,IP Address,145.109.1.233,100,72,TRUE,2024-04-23 14:50:18,R_7h5pnxHiRpuy0r7,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),3 days a week,Not too crowded,Aware,Acceptable,Satisfied,,None,,None,
2024-04-23 14:45:03,2024-04-23 14:51:49,IP Address,89.205.142.224,100,405,TRUE,2024-04-23 14:51:50,R_17kTW3IRzhIApgP,,,,,52.3712,4.9044,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the first floor (1st floor - in a working space),3 days a week,Not too crowded,Very aware,Good,Satisfied,,Headaches,,None,
2024-04-23 14:49:12,2024-04-23 14:53:04,IP Address,145.109.24.39,100,231,TRUE,2024-04-23 14:53:05,R_5pMN1HVwdRwzzBS,,,,,52.3824,4.8995,qr,EN,"Yes, I understand, and I agree to participate in the survey (start questionnaire)",On the ground floor (the atrium),5 days a week,Crowded,Unaware,Acceptable,Satisfied,,None,,Other,I don’t know if my symptoms are related to bad air? But I do experience them
